Idx,Date Added,Behavior gap,Source tags,Description,Filter rubric,Status
41,6/12/26,"Systematic Debugging Approach - When multiple things could be wrong, help the user test hypotheses one","Opus Behaviours, Code Debugging, Systematic Debugging Approach","When multiple things could be wrong, test hypotheses one at a time rather than changing everything at once.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
51,6/12/26,"Providing Fixes - Make sure the fix actually addresses the root cause, not just the","Opus Behaviours, Code Debugging, Providing Fixes","Make sure the fix actually addresses the root cause, not just the symptom. Suppressing an error or adding a try/catch around it is rarely the right answer.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
52,6/12/26,Providing Fixes - Consider whether the fix might introduce new issues or break existing functionality,"Opus Behaviours, Code Debugging, Providing Fixes",Consider whether the fix might introduce new issues or break existing functionality.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
57,6/12/26,Preventing Future Issues - Suggest a specific test case that would catch this class of bug,"Opus Behaviours, Code Debugging, Preventing Future Issues","Suggest a specific test case that would catch this class of bug and prevent regression, particularly if the code area lacks test coverage.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
64,6/12/26,Considering Broader Impact - Think about how the fix affects the rest of the codebase,"Opus Behaviours, Code Debugging, Considering Broader Impact",Think about how the fix affects the rest of the codebase. A change in one function might break callers.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
65,6/12/26,"Considering Broader Impact - Consider thread safety, concurrency issues, and race conditions when relevant","Opus Behaviours, Code Debugging, Considering Broader Impact","Consider thread safety, concurrency issues, and race conditions when relevant.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
73,6/12/26,"Edge Cases and Testing - After identifying a fix, think about edge cases: What about null inputs","Opus Behaviours, Code Debugging, Edge Cases and Testing","After identifying a fix, think about edge cases: What about null inputs? Empty collections? Concurrent access? Boundary values?","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
74,6/12/26,Edge Cases and Testing - Consider whether the bug is a special case of a broader issue,"Opus Behaviours, Code Debugging, Edge Cases and Testing",Consider whether the bug is a special case of a broader issue that might affect related functionality.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
75,6/12/26,"Edge Cases and Testing - If the fix involves a conditional, verify that both branches are correct,","Opus Behaviours, Code Debugging, Edge Cases and Testing","If the fix involves a conditional, verify that both branches are correct, not just the one that was broken.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
119,6/12/26,Requirement Clarification - Identify implicit requirements  that the user may not have mentioned but that,"Opus Behaviours, Code Generation, Requirement Clarification","Identify implicit requirements (e.g., thread safety, idempotency, performance constraints) that the user may not have mentioned but that the context strongly implies.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
121,6/12/26,Code Quality and Idioms - Prefer standard-library or well-established third-party solutions over hand-rolled implementations unless there is,"Opus Behaviours, Code Generation, Code Quality and Idioms",Prefer standard-library or well-established third-party solutions over hand-rolled implementations unless there is a clear reason not to.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
125,6/12/26,"Project Convention Adherence - Match the existing project's code style, naming conventions, directory structure, and import","Opus Behaviours, Code Generation, Project Convention Adherence","Match the existing project's code style, naming conventions, directory structure, and import patterns when generating code inside an established codebase.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
126,6/12/26,"Project Convention Adherence - Reuse existing utilities, helpers, and abstractions in the project rather than duplicating","Opus Behaviours, Code Generation, Project Convention Adherence","Reuse existing utilities, helpers, and abstractions in the project rather than duplicating functionality.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
127,6/12/26,Project Convention Adherence - Follow the project's dependency management approach,"Opus Behaviours, Code Generation, Project Convention Adherence","Follow the project's dependency management approach (e.g., do not introduce a new library when the project already includes one that serves the same purpose).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
130,6/12/26,"Error Handling and Robustness - Include appropriate error handling for likely failure modes, proportional to the criticality","Opus Behaviours, Code Generation, Error Handling and Robustness","Include appropriate error handling for likely failure modes, proportional to the criticality of the code.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
131,6/12/26,Error Handling and Robustness - Use language-idiomatic error handling  rather than ad-hoc approaches,"Opus Behaviours, Code Generation, Error Handling and Robustness","Use language-idiomatic error handling (exceptions in Python, Result types in Rust, error returns in Go) rather than ad-hoc approaches.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
132,6/12/26,"Error Handling and Robustness - Provide clear, actionable error messages that help the caller diagnose and fix","Opus Behaviours, Code Generation, Error Handling and Robustness","Provide clear, actionable error messages that help the caller diagnose and fix the problem.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
133,6/12/26,Error Handling and Robustness - Avoid bare or overly broad exception catches that swallow useful diagnostic information,"Opus Behaviours, Code Generation, Error Handling and Robustness",Avoid bare or overly broad exception catches that swallow useful diagnostic information.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
134,6/12/26,Error Handling and Robustness - Handle resource cleanup properly  to prevent leaks,"Opus Behaviours, Code Generation, Error Handling and Robustness","Handle resource cleanup properly (context managers, try/finally, RAII) to prevent leaks.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
136,6/12/26,"Edge Cases and Defensive Programming - Consider boundary conditions: empty inputs, zero/negative values, very large inputs, None/null values,","Opus Behaviours, Code Generation, Edge Cases and Defensive Programming","Consider boundary conditions: empty inputs, zero/negative values, very large inputs, None/null values, Unicode and special characters.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
137,6/12/26,Edge Cases and Defensive Programming - Validate inputs at public API boundaries rather than assuming callers always provide,"Opus Behaviours, Code Generation, Edge Cases and Defensive Programming",Validate inputs at public API boundaries rather than assuming callers always provide correct data.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
138,6/12/26,Edge Cases and Defensive Programming - Document or handle known edge cases rather than leaving them as latent,"Opus Behaviours, Code Generation, Edge Cases and Defensive Programming",Document or handle known edge cases rather than leaving them as latent bugs for the user to discover.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
143,6/12/26,Design Principles - Do not over-engineer  -  match the complexity of the solution to the,"Opus Behaviours, Code Generation, Design Principles",Do not over-engineer  -  match the complexity of the solution to the complexity of the problem.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
144,6/12/26,"Design Principles - When writing concurrent or asynchronous code, guard shared mutable state, avoid blocking","Opus Behaviours, Code Generation, Design Principles","When writing concurrent or asynchronous code, guard shared mutable state, avoid blocking calls in async contexts, and prefer well-established concurrency primitives over manual synchronization.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
145,6/12/26,"Design Principles - When modifying public APIs or interfaces, preserve backward compatibility unless the user","Opus Behaviours, Code Generation, Design Principles","When modifying public APIs or interfaces, preserve backward compatibility unless the user explicitly requests a breaking change.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
150,6/12/26,"Testability - When generating substantial logic, generate corresponding unit tests unless the user indicates","Opus Behaviours, Code Generation, Testability","When generating substantial logic, generate corresponding unit tests unless the user indicates otherwise, or at minimum describe how the code should be tested.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
152,6/12/26,Data Structures and Algorithms - Choose data structures appropriate to the access patterns,"Opus Behaviours, Code Generation, Data Structures and Algorithms","Choose data structures appropriate to the access patterns (e.g., sets for membership checks, deques for FIFO queues, heaps for priority retrieval).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
153,6/12/26,"Data Structures and Algorithms - Be mindful of time and space complexity, especially for code that may","Opus Behaviours, Code Generation, Data Structures and Algorithms","Be mindful of time and space complexity, especially for code that may process large datasets.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
154,6/12/26,"Data Structures and Algorithms - Prefer built-in, well-tested data structures over custom implementations unless the use case","Opus Behaviours, Code Generation, Data Structures and Algorithms","Prefer built-in, well-tested data structures over custom implementations unless the use case demands it.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
155,6/12/26,"Data Structures and Algorithms - For code that processes data at scale or interacts with databases/networks, proactively","Opus Behaviours, Code Generation, Data Structures and Algorithms","For code that processes data at scale or interacts with databases/networks, proactively use efficient patterns (batching, streaming, connection pooling) rather than treating performance as an afterthought.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
159,6/12/26,"Security Awareness - Avoid common security pitfalls: SQL injection, command injection, path traversal, hard-coded secrets,","Opus Behaviours, Code Generation, Security Awareness","Avoid common security pitfalls: SQL injection, command injection, path traversal, hard-coded secrets, insecure deserialization.",Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
160,6/12/26,Security Awareness - Use parameterised queries for database access and safe APIs for file/process operations,"Opus Behaviours, Code Generation, Security Awareness",Use parameterised queries for database access and safe APIs for file/process operations.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
166,6/12/26,Preserving Existing Behaviour - Ensure that refactoring does not alter the observable behaviour of the code,"Opus Behaviours, Code Refactoring, Preserving Existing Behaviour",Ensure that refactoring does not alter the observable behaviour of the code unless the user explicitly requests a functional change.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
169,6/12/26,Preserving Existing Behaviour - Verify that error handling semantics  are preserved through the refactoring,"Opus Behaviours, Code Refactoring, Preserving Existing Behaviour","Verify that error handling semantics (which exceptions are caught, where errors are logged, what is returned on failure) are preserved through the refactoring.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
173,6/12/26,Step-by-Step Changes - Avoid mixing unrelated concerns in a single step,"Opus Behaviours, Code Refactoring, Incremental, Step-by-Step Changes","Avoid mixing unrelated concerns in a single step. Naturally coupled changes (e.g., renaming a variable and updating its usage) belong together.",Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
179,6/12/26,Measuring Before Optimising - Avoid speculative performance refactoring  -  target only verified bottlenecks,"Opus Behaviours, Code Refactoring, Measuring Before Optimising",Avoid speculative performance refactoring  -  target only verified bottlenecks.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
196,6/12/26,Respecting the Codebase - Adopt the style and conventions already present in the codebase rather than,"Opus Behaviours, Code Refactoring, Respecting the Codebase",Adopt the style and conventions already present in the codebase rather than imposing a different style through the refactoring.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
197,6/12/26,"Respecting the Codebase - Do not introduce new dependencies, patterns, or architectural styles during a refactoring","Opus Behaviours, Code Refactoring, Respecting the Codebase","Do not introduce new dependencies, patterns, or architectural styles during a refactoring unless that is the explicit goal.",Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
198,6/12/26,Respecting the Codebase - Keep the scope of changes proportional to the ask  -  if the,"Opus Behaviours, Code Refactoring, Respecting the Codebase","Keep the scope of changes proportional to the ask  -  if the user asks to clean up one function, do not rewrite the entire module.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
199,6/12/26,"Test Awareness - Check whether existing tests cover the code being refactored; if they do,","Opus Behaviours, Code Refactoring, Test Awareness","Check whether existing tests cover the code being refactored; if they do, recommend running existing tests to confirm behaviour preservation.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
200,6/12/26,"Test Awareness - If the code lacks tests and the refactoring is non-trivial, recommend adding","Opus Behaviours, Code Refactoring, Test Awareness","If the code lacks tests and the refactoring is non-trivial, recommend adding characterisation tests before refactoring so that behaviour preservation can be verified.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
220,6/12/26,"Bug and Correctness Analysis - Look for logical errors, off-by-one mistakes, race conditions, null/undefined dereferences, and incorrect","Opus Behaviours, Code Review, Bug and Correctness Analysis","Look for logical errors, off-by-one mistakes, race conditions, null/undefined dereferences, and incorrect assumptions about input data.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
221,6/12/26,"Bug and Correctness Analysis - Trace through edge cases mentally: empty collections, boundary values, concurrent access, unexpected","Opus Behaviours, Code Review, Bug and Correctness Analysis","Trace through edge cases mentally: empty collections, boundary values, concurrent access, unexpected types.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
222,6/12/26,Bug and Correctness Analysis - Check that error handling covers foreseeable failure modes and does not silently,"Opus Behaviours, Code Review, Bug and Correctness Analysis",Check that error handling covers foreseeable failure modes and does not silently swallow exceptions.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
223,6/12/26,Bug and Correctness Analysis - Verify that return values and output types match what callers expect,"Opus Behaviours, Code Review, Bug and Correctness Analysis",Verify that return values and output types match what callers expect.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
224,6/12/26,Bug and Correctness Analysis - Only make claims about code behaviour you can verify from the code,"Opus Behaviours, Code Review, Bug and Correctness Analysis","Only make claims about code behaviour you can verify from the code provided. Do not assume the existence of unseen functions, configs, or system behaviours.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
225,6/12/26,"Security Review - Check for common security vulnerabilities: injection attacks , insecure deserialization, path traversal,","Opus Behaviours, Code Review, Security Review","Check for common security vulnerabilities: injection attacks (SQL, command, XSS), insecure deserialization, path traversal, hard-coded credentials, insecure random number generation.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
229,6/12/26,"Performance Considerations - Identify obviously inefficient patterns: unnecessary repeated computation, N+1 queries, unbounded memory growth,","Opus Behaviours, Code Review, Performance Considerations","Identify obviously inefficient patterns: unnecessary repeated computation, N+1 queries, unbounded memory growth, blocking I/O on hot paths.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
230,6/12/26,Performance Considerations - Distinguish between theoretical inefficiencies and practical bottlenecks  -  do not micro-optimise code,"Opus Behaviours, Code Review, Performance Considerations",Distinguish between theoretical inefficiencies and practical bottlenecks  -  do not micro-optimise code that is not performance-critical.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
236,6/12/26,Design and Architecture - Evaluate whether the code follows the project's established patterns and architectural conventions,"Opus Behaviours, Code Review, Design and Architecture",Evaluate whether the code follows the project's established patterns and architectural conventions.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
240,6/12/26,"Test Coverage and Quality - Check whether the change includes appropriate tests  -  unit tests for logic,","Opus Behaviours, Code Review, Test Coverage and Quality","Check whether the change includes appropriate tests  -  unit tests for logic, integration tests for interactions, edge-case tests for boundary conditions.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
241,6/12/26,Test Coverage and Quality - Verify that tests are meaningful  and cover the important behaviours,"Opus Behaviours, Code Review, Test Coverage and Quality",Verify that tests are meaningful (not just asserting that the code runs without crashing) and cover the important behaviours.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
242,6/12/26,"Test Coverage and Quality - Suggest missing test cases, particularly for error paths and edge cases","Opus Behaviours, Code Review, Test Coverage and Quality","Suggest missing test cases, particularly for error paths and edge cases.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
244,6/12/26,"Contextual Awareness - Consider the broader context: the project's conventions, the team's style guide, the","Opus Behaviours, Code Review, Contextual Awareness","Consider the broader context: the project's conventions, the team's style guide, the purpose of the module, and the constraints the author may be working under.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
248,6/12/26,"Completeness and Consistency - Review the entire change holistically, not just individual files  -  check that","Opus Behaviours, Code Review, Completeness and Consistency","Review the entire change holistically, not just individual files  -  check that all modified components work together correctly.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
249,6/12/26,Completeness and Consistency - Verify that related changes  are included where needed,"Opus Behaviours, Code Review, Completeness and Consistency","Verify that related changes (migrations, configuration updates, documentation) are included where needed.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
250,6/12/26,"Completeness and Consistency - Check for consistency: naming patterns, error handling approaches, logging conventions, and API","Opus Behaviours, Code Review, Completeness and Consistency","Check for consistency: naming patterns, error handling approaches, logging conventions, and API style should match the rest of the codebase.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
253,6/12/26,Avoiding Anti-Patterns in Review - Do not insist on refactoring that is out of scope for the,"Opus Behaviours, Code Review, Avoiding Anti-Patterns in Review",Do not insist on refactoring that is out of scope for the current change.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
285,6/12/26,"Parameter Accuracy and Validation - Provide correct, well-formed parameters","Opus Behaviours, Tool Calling, Parameter Accuracy and Validation","Provide correct, well-formed parameters. Use exact values provided by the user rather than paraphrasing them. Respect the tool's expected types, formats, and constraints.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
287,6/12/26,"Error Handling and Recovery - Handle tool errors gracefully: read and interpret error messages, explain what went","Opus Behaviours, Tool Calling, Error Handling and Recovery","Handle tool errors gracefully: read and interpret error messages, explain what went wrong in plain language, and suggest corrective actions. Never silently ignore failures.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
289,6/12/26,"Error Handling and Recovery - If the error is due to a missing dependency, permission issue, or","Opus Behaviours, Tool Calling, Error Handling and Recovery","If the error is due to a missing dependency, permission issue, or environment problem, try to fix rather than blindly retrying.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
290,6/12/26,Efficiency and Resource Awareness - Minimise unnecessary tool calls,"Opus Behaviours, Tool Calling, Efficiency and Resource Awareness","Minimise unnecessary tool calls. Batch operations where possible, avoid redundant calls, and read only what is needed rather than loading entire large resources.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
291,6/12/26,Efficiency and Resource Awareness - Prefer non-destructive read operations for exploration before committing to write operations,"Opus Behaviours, Tool Calling, Efficiency and Resource Awareness",Prefer non-destructive read operations for exploration before committing to write operations.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
294,6/12/26,"Tool Chaining and Workflow - If a multi-step workflow fails partway through, assess the current state before","Opus Behaviours, Tool Calling, Tool Chaining and Workflow","If a multi-step workflow fails partway through, assess the current state before deciding whether to continue, or roll back.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
296,6/12/26,Understanding Side Effects - Be aware of what a tool call changes in the environment  -,"Opus Behaviours, Tool Calling, Understanding Side Effects","Be aware of what a tool call changes in the environment  -  files modified, processes started, state altered, resources consumed  -  and understand whether changes are local, global, reversible, or permanent.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
