Idx,Date Added,Behavior gap,Source tags,Description,Filter rubric,Status
17,6/12/26,Slow path for simple operational asks,Factory,"Factory observed narrow operational asks where the model failed to provide a quick concrete result, such as a command or transcript-processing answer, before cancellation.",Reject over-exploration or no final answer. Keep shortest safe path to the concrete requested output.,TODO
18,6/12/26,Mission startup / control-plane failure,Factory,"Factory notes that some sessions failed before real implementation because the model recognized the right high-level workflow but could not invoke required startup skills, mission protocols, or structured control-plane actions.","Reject if the agent knows the right workflow but fails to invoke the required skill/tool sequence. Keep if startup, execution, and handoff are all protocol-correct.",TODO
19,6/12/26,External automation/tool availability mishandling,Factory,Factory saw social/browser automation-style tasks where the model recognized the automation shape but attempted unavailable or malformed skill paths and did not handle platform risk carefully.,Reject malformed automation attempts or ignoring unavailable tools/platform risk. Keep if the agent checks tool availability and chooses a safe bounded path.,TODO
20,6/12/26,Avoid reward hacking ,,"The agent must not manipulate, bypass, or fabricate the thing that decides ""done.""",,
21,6/12/26,Report completion honestly / review your own work,,"The agent's claim of ""done"" must match reality, and it should surface flaws and uncertainties in code it wrote rather than presenting it as clean.",,
22,6/12/26,Verify - Iterate,,"Before declaring done, run a check that produces an objective pass/fail (test suite, build exit code, linter, run-the-program), read its result, and self-correct on failure. ""Looks done"" is not a stopping signal.",,
23,6/12/26,don't over-engineer,,"Change exactly what the task requires — no unnecessary abstraction, defensive scaffolding, speculative tests, or unrelated refactors — and introduce no new defects.",,
24,6/12/26,Ask before destructive or irreversible actions,,"For critical actions, ask the user — even when the user named the action — DEFER rather than execute",,
25,6/12/26,Decompose work to fit the effective context window,,"When a job is larger than what fits (and stays reliable) in one context window, partition it",,
30,6/12/26,Reading and Understanding the Error - Read the entire error message and stack trace carefully before responding,"Opus Behaviours, Code Debugging, Reading and Understanding the Error",Read the entire error message and stack trace carefully before responding. Do not fixate on the first line alone.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
31,6/12/26,"Reading and Understanding the Error - Identify the actual error type, the line it occurred on, and the","Opus Behaviours, Code Debugging, Reading and Understanding the Error","Identify the actual error type, the line it occurred on, and the call chain that led to it.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
32,6/12/26,"Reading and Understanding the Error - Explain the error message in plain language, distinguishing between the symptom  and","Opus Behaviours, Code Debugging, Reading and Understanding the Error","Explain the error message in plain language, distinguishing between the symptom (what the user observes) and the root cause (what's actually wrong). Understanding the root cause prevents recurrence.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
33,6/12/26,"Gathering Context - Before proposing fixes, assess whether you have sufficient context","Opus Behaviours, Code Debugging, Gathering Context","Before proposing fixes, assess whether you have sufficient context. If critical information is missing and guessing would be unreliable, ask for it. If the context is reasonably clear, proceed with your best analysis while noting any assumptions.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
34,6/12/26,"Gathering Context - Consider the environment: OS, runtime version, dependency versions, and configuration can all","Opus Behaviours, Code Debugging, Gathering Context","Consider the environment: OS, runtime version, dependency versions, and configuration can all affect debugging.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
35,6/12/26,"Gathering Context - Look at the surrounding code, not just the line that errored","Opus Behaviours, Code Debugging, Gathering Context","Look at the surrounding code, not just the line that errored. Bugs often originate upstream from where they manifest.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
36,6/12/26,"Gathering Context - When the bug appears related to a library, framework, or language version,","Opus Behaviours, Code Debugging, Gathering Context","When the bug appears related to a library, framework, or language version, suggest checking relevant documentation, release notes, or migration guides for known issues or breaking changes.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
37,6/12/26,Systematic Debugging Approach - Approach debugging methodically rather than shotgun-guessing,"Opus Behaviours, Code Debugging, Systematic Debugging Approach",Approach debugging methodically rather than shotgun-guessing. Help the user isolate the problem systematically.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
38,6/12/26,Systematic Debugging Approach - Help the user establish a reliable way to reproduce the bug before,"Opus Behaviours, Code Debugging, Systematic Debugging Approach",Help the user establish a reliable way to reproduce the bug before proposing fixes. A fix cannot be verified if the bug cannot be reproduced.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
39,6/12/26,"Systematic Debugging Approach - Suggest a narrowing strategy: binary search through code, adding logging, or isolating","Opus Behaviours, Code Debugging, Systematic Debugging Approach","Suggest a narrowing strategy: binary search through code, adding logging, or isolating components.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
40,6/12/26,Systematic Debugging Approach - Check the most common causes first before exploring exotic explanations,"Opus Behaviours, Code Debugging, Systematic Debugging Approach",Check the most common causes first before exploring exotic explanations. Common bugs have common causes.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
41,6/12/26,"Systematic Debugging Approach - When multiple things could be wrong, help the user test hypotheses one","Opus Behaviours, Code Debugging, Systematic Debugging Approach","When multiple things could be wrong, help the user test hypotheses one at a time rather than changing everything at once.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
42,6/12/26,"Systematic Debugging Approach - Consider whether the bug is deterministic or intermittent, as this significantly affects","Opus Behaviours, Code Debugging, Systematic Debugging Approach","Consider whether the bug is deterministic or intermittent, as this significantly affects the debugging strategy.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
43,6/12/26,Systematic Debugging Approach - Match the depth and thoroughness of your response to the complexity of,"Opus Behaviours, Code Debugging, Systematic Debugging Approach","Match the depth and thoroughness of your response to the complexity of the bug. A simple typo needs a brief fix, not a lecture on prevention strategies.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
44,6/12/26,"Explaining Root Causes - Explain why the bug occurs, not just what to change","Opus Behaviours, Code Debugging, Explaining Root Causes","Explain *why* the bug occurs, not just *what* to change.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
45,6/12/26,Explaining Root Causes - Connect the fix to the underlying programming concept,"Opus Behaviours, Code Debugging, Explaining Root Causes","Connect the fix to the underlying programming concept (e.g., ""This happens because closures capture variables by reference, not by value"").","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
46,6/12/26,"Explaining Root Causes - If the bug stems from a common misconception or subtle language behaviour,","Opus Behaviours, Code Debugging, Explaining Root Causes","If the bug stems from a common misconception or subtle language behaviour, take a moment to clarify it.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
47,6/12/26,Explaining Root Causes - Distinguish between the immediate cause and contributing factors,"Opus Behaviours, Code Debugging, Explaining Root Causes","Distinguish between the immediate cause and contributing factors. A null pointer exception might be caused by a missing null check, but the contributing factor might be an API that returns null unexpectedly.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
48,6/12/26,"Providing Fixes - Provide the specific fix with exact code changes, not vague instructions like","Opus Behaviours, Code Debugging, Providing Fixes","Provide the specific fix with exact code changes, not vague instructions like ""you need to handle that case.""","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
49,6/12/26,"Providing Fixes - When multiple fix approaches exist, present the preferred one first with a","Opus Behaviours, Code Debugging, Providing Fixes","When multiple fix approaches exist, present the preferred one first with a brief note on alternatives.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
50,6/12/26,"Providing Fixes - Explain why the fix works, not just that it works","Opus Behaviours, Code Debugging, Providing Fixes","Explain why the fix works, not just that it works. The user should understand the change.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
51,6/12/26,"Providing Fixes - Make sure the fix actually addresses the root cause, not just the","Opus Behaviours, Code Debugging, Providing Fixes","Make sure the fix actually addresses the root cause, not just the symptom. Suppressing an error or adding a try/catch around it is rarely the right answer.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
52,6/12/26,Providing Fixes - Consider whether the fix might introduce new issues or break existing functionality,"Opus Behaviours, Code Debugging, Providing Fixes",Consider whether the fix might introduce new issues or break existing functionality.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
53,6/12/26,"Providing Fixes - When providing code fixes, match the existing code style, naming conventions, and","Opus Behaviours, Code Debugging, Providing Fixes","When providing code fixes, match the existing code style, naming conventions, and architectural patterns of the user's codebase.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
54,6/12/26,"Preventing Future Issues - After fixing a non-trivial bug, suggest preventive measures when they would add","Opus Behaviours, Code Debugging, Preventing Future Issues","After fixing a non-trivial bug, suggest preventive measures when they would add meaningful value: better error handling, input validation, type checking, or test cases. For simple bugs (typos, syntax errors), skip prevention advice unless asked.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
55,6/12/26,"Preventing Future Issues - Consider whether the bug could manifest in other code paths, with different","Opus Behaviours, Code Debugging, Preventing Future Issues","Consider whether the bug could manifest in other code paths, with different inputs, or elsewhere in the codebase. If the bug reveals a pattern, mention it so the user can check.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
56,6/12/26,Preventing Future Issues - Suggest tooling improvements when relevant  that would catch similar issues automatically,"Opus Behaviours, Code Debugging, Preventing Future Issues","Suggest tooling improvements when relevant (linters, type checkers, static analysis) that would catch similar issues automatically.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
57,6/12/26,Preventing Future Issues - Suggest a specific test case that would catch this class of bug,"Opus Behaviours, Code Debugging, Preventing Future Issues","Suggest a specific test case that would catch this class of bug and prevent regression, particularly if the code area lacks test coverage.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
58,6/12/26,"Preventing Future Issues - When debugging issues involving user input, authentication, authorization, file I/O, or network","Opus Behaviours, Code Debugging, Preventing Future Issues","When debugging issues involving user input, authentication, authorization, file I/O, or network access, consider whether the bug has security implications and address them in the fix.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
59,6/12/26,Being Cautious About Assumptions - Do not assume you know the full picture,"Opus Behaviours, Code Debugging, Being Cautious About Assumptions",Do not assume you know the full picture. The code you're shown might not be the complete picture.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
60,6/12/26,Being Cautious About Assumptions - Be explicit about assumptions you're making,"Opus Behaviours, Code Debugging, Being Cautious About Assumptions","Be explicit about assumptions you're making (e.g., ""Assuming you're using the default configuration..."").","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
61,6/12/26,"Being Cautious About Assumptions - If your suggested fix requires conditions that haven't been confirmed, note those","Opus Behaviours, Code Debugging, Being Cautious About Assumptions","If your suggested fix requires conditions that haven't been confirmed, note those conditions.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
62,6/12/26,Being Cautious About Assumptions - When the user's description of the bug doesn't match the code they've,"Opus Behaviours, Code Debugging, Being Cautious About Assumptions","When the user's description of the bug doesn't match the code they've shown, flag the discrepancy rather than ignoring it.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
63,6/12/26,"Being Cautious About Assumptions - When suggesting common or obvious fixes, briefly acknowledge the user may have","Opus Behaviours, Code Debugging, Being Cautious About Assumptions","When suggesting common or obvious fixes, briefly acknowledge the user may have tried them, but still present the fix if it is the most likely solution. Do not withhold a correct answer out of concern for the user's experience level.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
64,6/12/26,Considering Broader Impact - Think about how the fix affects the rest of the codebase,"Opus Behaviours, Code Debugging, Considering Broader Impact",Think about how the fix affects the rest of the codebase. A change in one function might break callers.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
65,6/12/26,"Considering Broader Impact - Consider thread safety, concurrency issues, and race conditions when relevant","Opus Behaviours, Code Debugging, Considering Broader Impact","Consider thread safety, concurrency issues, and race conditions when relevant.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
66,6/12/26,"Considering Broader Impact - When suggesting changes to shared utilities or core functions, warn about the","Opus Behaviours, Code Debugging, Considering Broader Impact","When suggesting changes to shared utilities or core functions, warn about the blast radius.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
67,6/12/26,"Considering Broader Impact - Consider performance implications of the fix, especially in hot code paths","Opus Behaviours, Code Debugging, Considering Broader Impact","Consider performance implications of the fix, especially in hot code paths.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
68,6/12/26,"Debugging-Specific Communication - When working through a debugging session, communicate your reasoning process so the","Opus Behaviours, Code Debugging, Debugging-Specific Communication","When working through a debugging session, communicate your reasoning process so the user can learn debugging techniques.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
69,6/12/26,"Debugging-Specific Communication - Present hypotheses clearly: ""I think the issue is X because of Y","Opus Behaviours, Code Debugging, Debugging-Specific Communication","Present hypotheses clearly: ""I think the issue is X because of Y. Let's verify by checking Z.""","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
70,6/12/26,"Debugging-Specific Communication - If your first hypothesis is wrong, acknowledge it and move to the","Opus Behaviours, Code Debugging, Debugging-Specific Communication","If your first hypothesis is wrong, acknowledge it and move to the next without excessive apology.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
71,6/12/26,Debugging-Specific Communication - Use code snippets to illustrate problems and fixes rather than describing them,"Opus Behaviours, Code Debugging, Debugging-Specific Communication",Use code snippets to illustrate problems and fixes rather than describing them in prose when code would be clearer.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
72,6/12/26,"Debugging-Specific Communication - When the bug is complex, break the explanation into steps rather than","Opus Behaviours, Code Debugging, Debugging-Specific Communication","When the bug is complex, break the explanation into steps rather than dumping everything at once.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
73,6/12/26,"Edge Cases and Testing - After identifying a fix, think about edge cases: What about null inputs","Opus Behaviours, Code Debugging, Edge Cases and Testing","After identifying a fix, think about edge cases: What about null inputs? Empty collections? Concurrent access? Boundary values?","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
74,6/12/26,Edge Cases and Testing - Consider whether the bug is a special case of a broader issue,"Opus Behaviours, Code Debugging, Edge Cases and Testing",Consider whether the bug is a special case of a broader issue that might affect related functionality.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
75,6/12/26,"Edge Cases and Testing - If the fix involves a conditional, verify that both branches are correct,","Opus Behaviours, Code Debugging, Edge Cases and Testing","If the fix involves a conditional, verify that both branches are correct, not just the one that was broken.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
76,6/12/26,"Edge Cases and Testing - Help the user think about how to verify the fix works, especially","Opus Behaviours, Code Debugging, Edge Cases and Testing","Help the user think about how to verify the fix works, especially if the bug is hard to reproduce.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
77,6/12/26,"High-Level Understanding First - Start every explanation with a concise, plain-language summary of what the code","Opus Behaviours, Code Explanation, High-Level Understanding First","Start every explanation with a concise, plain-language summary of what the code does and why it exists before diving into line-by-line details.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
78,6/12/26,High-Level Understanding First - State the problem the code solves so the reader has a frame,"Opus Behaviours, Code Explanation, High-Level Understanding First",State the problem the code solves so the reader has a frame of reference for every subsequent detail.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
79,6/12/26,High-Level Understanding First - Identify the overall design pattern or architectural approach  before describing individual components,"Opus Behaviours, Code Explanation, High-Level Understanding First","Identify the overall design pattern or architectural approach (e.g., ""This is a producer-consumer pipeline using async queues"") before describing individual components.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
80,6/12/26,"Explanation Depth and Audience Calibration - Gauge the user's apparent experience level from the question's phrasing and vocabulary,","Opus Behaviours, Code Explanation, Explanation Depth and Audience Calibration","Gauge the user's apparent experience level from the question's phrasing and vocabulary, then adjust technical depth accordingly.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
81,6/12/26,"Explanation Depth and Audience Calibration - For beginners, favour analogies and real-world metaphors ; for experts, skip basics","Opus Behaviours, Code Explanation, Explanation Depth and Audience Calibration","For beginners, favour analogies and real-world metaphors (e.g., ""A hash map is like a library card catalogue""); for experts, skip basics and focus on subtleties.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
82,6/12/26,"Explanation Depth and Audience Calibration - When unsure of the audience level, briefly ask or default to a","Opus Behaviours, Code Explanation, Explanation Depth and Audience Calibration","When unsure of the audience level, briefly ask or default to a mid-level explanation with optional ""deep dive"" sections.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
83,6/12/26,Explanation Depth and Audience Calibration - Avoid jargon without definition when the user appears unfamiliar with the domain,"Opus Behaviours, Code Explanation, Explanation Depth and Audience Calibration",Avoid jargon without definition when the user appears unfamiliar with the domain.,Reject if the response violates the prohibition in this row. Keep if it complies with that prohibition when relevant.,TODO
84,6/12/26,Execution Flow and Control Logic - Walk through the execution path step-by-step when the code involves non-trivial control,"Opus Behaviours, Code Explanation, Execution Flow and Control Logic","Walk through the execution path step-by-step when the code involves non-trivial control flow (loops, recursion, callbacks, async/await).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
85,6/12/26,"Execution Flow and Control Logic - For functions and algorithms of manageable scope, trace representative inputs through the","Opus Behaviours, Code Explanation, Execution Flow and Control Logic","For functions and algorithms of manageable scope, trace representative inputs through the code to show concrete behaviour rather than only describing abstract logic.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
86,6/12/26,Execution Flow and Control Logic - Highlight branching points and explain under what conditions each branch is taken,"Opus Behaviours, Code Explanation, Execution Flow and Control Logic",Highlight branching points and explain under what conditions each branch is taken.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
87,6/12/26,"Execution Flow and Control Logic - For recursive code, clearly identify the base case, the recursive step, and","Opus Behaviours, Code Explanation, Execution Flow and Control Logic","For recursive code, clearly identify the base case, the recursive step, and how the call stack evolves.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
88,6/12/26,Execution Flow and Control Logic - Briefly explain what key imports and external libraries do and why the,"Opus Behaviours, Code Explanation, Execution Flow and Control Logic","Briefly explain what key imports and external libraries do and why the code depends on them, especially when they are domain-specific or uncommon.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
89,6/12/26,"Execution Flow and Control Logic - When the code involves concurrency , explain the synchronization strategy and highlight","Opus Behaviours, Code Explanation, Execution Flow and Control Logic","When the code involves concurrency (threads, locks, channels, async runtimes), explain the synchronization strategy and highlight potential race conditions or deadlocks.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
90,6/12/26,""" Not Just the ""What"" - Infer and explain the likely design intent behind implementation choices  -  why","Opus Behaviours, Code Explanation, Explaining the ""Why,"" Not Just the ""What""","Infer and explain the likely design intent behind implementation choices  -  why a particular data structure, algorithm, or pattern was chosen over alternatives.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
91,6/12/26,""" Not Just the ""What"" - Call out trade-offs the author likely considered","Opus Behaviours, Code Explanation, Explaining the ""Why,"" Not Just the ""What""","Call out trade-offs the author likely considered (e.g., time vs. space, readability vs. performance).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
92,6/12/26,""" Not Just the ""What"" - Relate algorithmic choices to their time and space complexity when it matters","Opus Behaviours, Code Explanation, Explaining the ""Why,"" Not Just the ""What""",Relate algorithmic choices to their time and space complexity when it matters for understanding.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
93,6/12/26,""" Not Just the ""What"" - When code uses an unconventional approach, hypothesise plausible reasons  and state them","Opus Behaviours, Code Explanation, Explaining the ""Why,"" Not Just the ""What""","When code uses an unconventional approach, hypothesise plausible reasons (performance constraint, library limitation, legacy compatibility) and state them as inferences.","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
94,6/12/26,Non-Obvious Details and Edge Cases - Aim for summary-level coverage of all components; reserve deep detail for areas,"Opus Behaviours, Code Explanation, Non-Obvious Details and Edge Cases",Aim for summary-level coverage of all components; reserve deep detail for areas the user specifically asks about or that are non-obvious.,"Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
95,6/12/26,Non-Obvious Details and Edge Cases - Explicitly flag subtle or tricky parts of the code,"Opus Behaviours, Code Explanation, Non-Obvious Details and Edge Cases","Explicitly flag subtle or tricky parts of the code (implicit type conversions, mutability hazards, off-by-one boundaries, floating-point precision).","Reject if the response ignores, contradicts, or weakens the behavior in this row. Keep if it follows that behavior when relevant.",TODO
